year,total passengers
1951,240786
1952,296066
1953,325311
1954,365545
1955,442587
1956,495268
1957,581087
1958,658889
1959,783115
1960,857318
1961,920096
1962,1090953
1963,1247684
1964,1411912
1965,1594895
1966,1943336
1967,2236637
1968,2515326
1969,2795212
1970,2871958
1971,3000707
1972,3365122
1973,3776725
1974,3962988
1975,3964942
1976,4414625
1977,4984653
1978,5931860
1979,7021985
1980,6585854
1981,6641750
1982,7491516
1983,8605408
1984,10801658
1985,13422764
1986,15556994
1987,17723046
1988,19178100
1989,20714059
1990,21718068
1991,22140437
1992,22118399
1993,23621781
1994,25626132
1995,27856195
1996,30411852
1997,30677210
1998,31769113
1999,33554407
2000,36044571
2001,35438181
2002,35547432
2003,37423596
2004,39504898
2005,41216188
2006,41439819
2007,42184515
2008,39891193
2009,37824982
2010,38554530
2011,40531948
2012,40448932
2013,40340275
2014,42105845
2015,44067496
2016,43411591
2017,43921670
2018,44943686
2019,46288337
2020,21928708
2021,38846713
2022,44397854
2023,48654432
